Species ID,Bird vs Dino,Body Mass (kg),Olfactory bulbs (cm3),Cerebrum (cm3),Optic Lobes (cm3),Cerebellum (cm3),Brain Stem (cm3)
1,B,0.02,0.009,1.53,0.2,0.16,0.06
2,B,1.26,0.006,16.81,2.84,1.7,0.68
3,B,2.18,0.026,11.08,1.95,0.89,1.15
4,D,0.25,0.05,0.41,0.16,0.09,0.12
5,B,0.01,0.003,1.57,0.2,0.34,0.08
6,D,85.96,0.569,9.52,3.6,5.16,3.78
7,D,0.5,0.077,0.6,0.36,0.24,0.17
8,B,0.9,0.234,5.95,0.99,0.96,0.55
9,B,0.26,0.027,8.36,1.4,1.63,0.86
10,D,12.61,0.028,3.71,1.31,1.6,2.17
11,B,0.17,0.015,6.09,0.88,1.62,0.49
12,B,0.43,0.206,9.45,1.44,2.4,0.85
13,B,0.05,0.008,1.63,0.41,0.26,0.17
14,B,59.3,0.274,36.85,7.61,6.45,5.13
15,D,49.3,1.08,14.81,4.75,3.16,2.35
16,B,0.1,0.003,0.63,0.27,0.13,0.07
17,B,0.3,0.041,5.5,1.62,1.94,0.77
18,B,0.03,0.01,2.22,0.73,0.76,0.29
19,B,0.01,0.006,0.46,0.24,0.11,0.06
20,D,15.95,0.042,1.61,0.7,0.31,0.4
21,B,2.33,0.009,8.05,1.07,1.62,0.68
22,D,0.92,0.021,1.38,0.87,0.5,0.33
23,B,0.17,0.055,4.69,0.95,0.53,0.53
24,B,1.2,0.036,5.18,0.9,1,0.58
25,B,2.06,0.032,12.24,2.16,2.18,1.07
