Species Type,Genus,Species,Brain mass (g),Body mass (g)
M,Sciurus,aberti,6.85,626.5
M,Cynomops,abrasus,0.418,33.3
M,Myoprocta,acouchy,9.9,782
M,Rhinolophus,acuminatus,0.302,12.1
M,Lagenorhynchus,acutus,1200,120000
M,Canis,adustus,56.5,12000
M,Myotis,adversus,0.2545,11.25
M,Tadarida,aegyptiaca,0.393,17.7
M,Rousettus,aegyptiacus,2.6,130
M,Phacochoerus,aethiopicus,125,65320
M,Chlorocebus,aethiops,66.1,3220
M,Chlorocebus,aethiops,66.3,5230
M,Chlorocebus,aethiops,36.54,1370
M,Chlorocebus,aethiops,60,1908
M,Orycteropus,afer,72,52500
M,Rhinolophus,affinis,0.3475,13.5
M,Ratufa,affinis,9.85,982.5
M,Coleura,afra,0.2585,11.5
M,Gerbilliscus,afra,1.56,65
M,Loxodonta,africana,4050,1793300
M,Loxodonta,africana,4420,3505000
M,Loxodonta,africana,9000,4380000
M,Loxodonta,africana,4000,5174400
M,Loxodonta,africana,5712,6654000
M,Loxodonta,africana,4480,2750000
M,Phacochoerus,africanus,132.5,67000
M,Atherurus,africanus,18.47,2685
M,Atherurus,africanus,25.3,3620
M,Cercocebus,agilis,95.3,4700
M,Hylobates,agilis,77,4536
M,Hylobates,agilis,76,5333
M,Hylobates,agilis,86.5,5670
M,Hylobates,agilis,96.9,4309
M,Hylobates,agilis,108.7,4879
M,Hylobates,agilis,83,4989
M,Hylobates,agilis,79.2,5443
M,Hylobates,agilis,81.5,5670
M,Hylobates,agilis,93,5897
M,Hylobates,agilis,98.9,5897
M,Hylobates,agilis,89,6350
M,Hylobates,agilis,87.5,7372
M,Dipodomys,agilis,1.34,61.4
M,Apodemus,agrarius,0.2,33.3
M,Microtus,agrestis,0.9,42.5
M,Microtus,agrestis,0.57,22.3
M,Microtus,agrestis,0.9,42.5
M,Myotis,albescens,0.126,4
M,Ichneumia,albicauda,28.3,4400
M,Ichneumia,albicauda,30,5000
M,Mystromys,albicaudatus,1.39,80
M,Cebus,albifrons,60.7,1470
M,Cebus,albifrons,65.2,1770
M,Eulemur,albifrons,22.3,1540
M,Lophocebus,albigena,89.6,2350
M,Lophocebus,albigena,104,7900
M,Neotoma,albigula,2.17,223.1
M,Lagenorhynchus,albirostris,1126,67500
M,Nyctimene,albiventer,0.825,29.7
M,Noctilio,albiventris,0.55,38.5
M,Atelerix,albiventris,2.24,280
M,Alces,alces,407,272160
M,Alces,alces,436,200000
M,Cyttarops,alecto,0.175,5.3
M,Pteropus,alecto,7.03967,595
M,Notomys,alexis,0.96,37
M,Atelerix,algirus,3.2,790
M,Neofiber,alleni,2.72,270.5
M,Myotis,altarium,0.24,11
M,Antilocapra,americana,130.2,34474
M,Antilocapra,americana,121,59000
M,Ursus,americanus,248,25990
M,Ursus,americanus,425,225000
M,Lepus,americanus,9.72,1500
M,Ovis,ammon,102.1,40000
M,Ovis,ammon,107,40000
M,Ovis,ammon,122,40000
M,Tamias,amoenus,1.39,50.8
M,Hippopotamus,amphibius,720,1351000
M,Hippopotamus,amphibius,590,1400000
M,Hippopotamus,amphibius,582,1755000
M,Arvicola,amphibius,1.64,168.3
M,Rousettus,amplexicaudatus,1.62725,80.38
M,Funisciurus,anerythrus,4.14,218
M,Tragelaphus,angasi,227,135000
